metric,value
company_aum_start,9.5
company_aum_end,15.85
strategy_aum_end,8.85
client_low_return,2.88
client_top_return,7.32
august_return,3.2
max_dd_intraday,2.25
inception_max_dd,25
march,6.3
april,11.2
may,4.2
june,1
july,1.9
august,3.2
btc_all,2.76
usdt_all,3.17
binance_btc,2.87
binance_usdt,2.88
okx_btc,2.93
okx_usdt,3.17
bybit_btc,2.5
bybit_usdt,3.19
r_btc_all,0.9597
r_usdt_all,1.1016
r_binance_btc,0.9995
r_binance_usdt,1.0019
r_okx_btc,1.0186
r_okx_usdt,1.1011
r_bybit_btc,0.8697
r_bybit_usdt,1.1097
