canonical_team_id,af_team_id,af_team_name,ft_team_id,ft_team_name,us_team_id,us_team_name,sf_team_id,sf_team_name,tm_team_id,tm_team_name,tm_total_market_value_eur,tm_squad_size,tm_average_age
1074_CANKRSPOR,6503,1074 Çankırıspor,,,,,,,,,,,
11_DE_SEPTIEMBRE,23584,11 de Septiembre,,,,,,,,,,,
12_BINGOLSPOR,6504,12 Bingölspor,,,,,,,,,,,
1874_NORTHWICH,8666,1874 Northwich,,,,,,,,,,,
1877_ALEMDAGSPOR,6505,1877 Alemdağspor,,,,,,,,,,,
1899_HOFFENHEIM,167,1899 Hoffenheim,49.0,TSG 1899 Hoffenheim,120.0,Hoffenheim,b1755178ea2e128e,TSG Hoffenheim,533.0,TSG 1899 Hoffenheim,246100000,29,25.4
1926_BULANCAK,26469,1926 Bulancak,,,,,,,,,,,
1926_POLATL_BELEDIYE,24600,1926 Polatlı Belediye,,,,,,,,,,,
1954_KELKIT_BELEDIYESPOR,6506,1954 Kelkit Belediyespor,,,,,,,,,,,
1O_DEZEMBRO,4718,1º Dezembro,,,,,,,,,,,
1O_MAIO_FUNCHAL,20350,1º Maio Funchal,,,,,,,,,,,
24_ERZINCANSPOR,7392,24 Erzincanspor,,,,,,,,,,,
4_DE_JULHO,7838,4 de Julho,,,,,,,,,,,
4_RIVIERES_70,3142,4 Rivières 70,,,,,,,,,,,
523_FC,16447,523 FC,,,,,,,,,,,
68_AKSARAY_BELEDIYESPOR,6507,68 Aksaray Belediyespor,,,,,,,,,,,
76_IGDR_BELEDIYESPOR,17259,76 Iğdır Belediyespor,704298.0,76 Iğdır Belediye Spor Kulübü,,,,,74664.0,Igdir FK,10800000,26,29.5
AABENRAA,19564,Aabenraa,,,,,,,0.0,0,,,
AABYHJ,11516,Aabyhøj,,,,,,,0.0,0,,,
AALBORG,402,Aalborg,974.0,Aalborg BK,,,1cb25b160af3d759,Aalborg,1053.0,Aalborg BK,10180000,26,24.7
AALBORG_CHANG,11587,Aalborg Chang,,,,,,,0.0,0,,,
AALBORG_FREJA,11539,Aalborg Freja,,,,,,,0.0,0,,,
AALESUND,757,Aalesund,328.0,Aalesunds FK,,,27cbed4cf4b7ec4a,Aalesund,5619.0,Aalesunds FK,9400000,26,24.2
AALSMEER,26701,Aalsmeer,,,,,,,,,,,
AARHUS,406,Aarhus,2516.0,Aarhus Gymnastikforening,,,f28d233f53eb76e9,AGF Aarhus,678.0,Aarhus GF,28450000,23,27.1
AARHUS_1900,11588,Aarhus 1900,,,,,,,0.0,0,,,
AARHUS_FREMAD,6004,Aarhus Fremad,3679.0,Aarhus Fremad,,,,,5784.0,Aarhus Fremad,3930000,29,24.1
AARSCHOT,8430,Aarschot,,,,,,,,,,,
ABBEVILLE,27015,Abbeville,,,,,,,,,,,
ABBEY_HEY,8674,Abbey Hey,,,,,,,,,,,
ABBEY_HULTON,26209,Abbey Hulton,,,,,,,,,,,
ABBEY_RANGERS,8675,Abbey Rangers,,,,,,,,,,,
ABC,754,ABC,639.0,ABC FC,,,,,0.0,0,,,
ABERDEEN,252,Aberdeen,25.0,Aberdeen FC,,,0,0,370.0,Aberdeen FC,18280000,28,25.9
ABINGDON_UNITED,8676,Abingdon United,,,,,,,,,,,
ABRANTES_E_BENFICA,17378,Abrantes e Benfica,,,,,,,,,,,
AB_COPENHAGEN,2060,AB Copenhagen,,,,,,,0.0,0,,,
AB_TARNBY,8641,AB Tårnby,,,,,,,0.0,0,,,
ACADEMICA,10145,Academica,,,,,,,,,,,
