timestamp,venue,instrument_id,side,size,price,fee,fee_ccy,trade_id
2024-01-02T09:30:15.123Z,BINANCE,BTCUSDT,buy,0.50,42150.00,0.0211,USDT,t-000001
2024-01-02T11:14:02.880Z,BINANCE,BTCUSDT,sell,0.50,42380.50,0.0212,USDT,t-000002
2024-01-02T14:05:48.220Z,COINBASE,BTC-USD,buy,0.25,42180.10,0.0211,USD,t-000003
2024-01-02T16:42:09.500Z,COINBASE,BTC-USD,sell,0.25,42355.00,0.0212,USD,t-000004
2024-01-03T08:01:32.450Z,BINANCE,SOLUSDT,buy,25.00,98.40,0.0030,USDT,t-000005
2024-01-03T15:22:11.770Z,BINANCE,SOLUSDT,sell,25.00,99.65,0.0031,USDT,t-000006
2024-01-04T10:08:44.000Z,DERIBIT,BTC-PERPETUAL,sell,0.10,42200.00,0.0085,USDT,t-000007
2024-01-04T13:47:29.640Z,DERIBIT,BTC-PERPETUAL,buy,0.10,42050.00,0.0085,USDT,t-000008
2024-01-05T08:00:01.220Z,DERIBIT,BTC-29MAR24-50000-C,buy,1.00,0.0285,0.0003,BTC,t-000009
2024-01-12T16:30:44.770Z,DERIBIT,BTC-29MAR24-50000-C,sell,1.00,0.0410,0.0003,BTC,t-000010
2024-01-08T11:22:05.080Z,CME,ESH4,buy,2,4762.25,4.50,USD,t-000011
2024-01-08T15:48:30.200Z,CME,ESH4,sell,2,4774.75,4.50,USD,t-000012
